,entity_lang,entity_txt,entity_ids,sitelinks
556,ar,772 م.,['Q30729'],[122]
557,ar,772 ميلادي,['Q30729'],[122]
558,ar,772م,['Q30729'],[122]
559,ar,772م.,['Q30729'],[122]
560,ar,788,['Q30721'],[122]
561,ar,788 م,['Q30721'],[122]
562,ar,788 م.,['Q30721'],[122]
563,ar,788 ميلادي,['Q30721'],[122]
564,ar,788م,['Q30721'],[122]
565,ar,788م.,['Q30721'],[122]
566,ar,789,['Q31558'],[122]
567,ar,789 م,['Q31558'],[122]
568,ar,789 م.,['Q31558'],[122]
569,ar,789 ميلادي,['Q31558'],[122]
570,ar,789م,['Q31558'],[122]
571,ar,789م.,['Q31558'],[122]
572,ar,794,['Q30887'],[123]
573,ar,794 م,['Q30887'],[123]
574,ar,794 م.,['Q30887'],[123]
575,ar,794 ميلادي,['Q30887'],[123]
576,ar,794م,['Q30887'],[123]
577,ar,794م.,['Q30887'],[123]
578,ar,8,['Q23348'],[144]
579,ar,8 (ق م.),['Q39166'],[95]
580,ar,8 (ق. م),['Q39166'],[95]
581,ar,8 (ق. م.),['Q39166'],[95]
582,ar,8 (ق.م),['Q39166'],[95]
583,ar,8 (ق.م.),['Q39166'],[95]
584,ar,8 (قبل الميلاد),['Q39166'],[95]
585,ar,8 أغسطس,['Q2780'],[205]
586,ar,8 ديسمبر,['Q2301'],[208]
587,ar,8 ق م,['Q39166'],[95]
588,ar,8 ق م.,['Q39166'],[95]
589,ar,8 ق. م,['Q39166'],[95]
590,ar,8 ق. م.,['Q39166'],[95]
591,ar,8 ق.م,['Q39166'],[95]
592,ar,8 ق.م.,['Q39166'],[95]
593,ar,8 قبل الميلاد,['Q39166'],[95]
594,ar,8 كانون الأول,['Q2301'],[208]
595,ar,804,['Q29998'],[129]
596,ar,804 م,['Q29998'],[129]
597,ar,804 م.,['Q29998'],[129]
598,ar,804 ميلادي,['Q29998'],[129]
599,ar,804م,['Q29998'],[129]
600,ar,804م.,['Q29998'],[129]
601,ar,81,['Q30190'],[122]
602,ar,81 م,['Q30190'],[122]
603,ar,819,['Q30343'],[126]
604,ar,819 م,['Q30343'],[126]
605,ar,819 م.,['Q30343'],[126]
606,ar,819 ميلادي,['Q30343'],[126]
607,ar,819م,['Q30343'],[126]
608,ar,819م.,['Q30343'],[126]
609,ar,85,['Q24836'],[123]
610,ar,85 م,['Q24836'],[123]
611,ar,85 م.,['Q24836'],[123]
612,ar,85 ميلادي,['Q24836'],[123]
613,ar,851,['Q29966'],[127]
614,ar,856,['Q30370'],[124]
615,ar,85م,['Q24836'],[123]
616,ar,85م.,['Q24836'],[123]
617,ar,860,['Q24714'],[129]
618,ar,866,['Q23872'],[131]
619,ar,873,['Q30369'],[126]
620,ar,874,['Q23843'],[127]
621,ar,874 م,['Q23843'],[127]
622,ar,874 م.,['Q23843'],[127]
623,ar,874 ميلادي,['Q23843'],[127]
624,ar,874م,['Q23843'],[127]
625,ar,874م.,['Q23843'],[127]
626,ar,876,['Q23815'],[129]
627,ar,893,['Q24762'],[131]
628,ar,893 م,['Q24762'],[131]
629,ar,893 م.,['Q24762'],[131]
630,ar,893 ميلادي,['Q24762'],[131]
631,ar,893م,['Q24762'],[131]
632,ar,893م.,['Q24762'],[131]
633,ar,894,['Q30577'],[128]
634,ar,894 م,['Q30577'],[128]
635,ar,894 م.,['Q30577'],[128]
636,ar,894 ميلادي,['Q30577'],[128]
637,ar,894م,['Q30577'],[128]
638,ar,894م.,['Q30577'],[128]
639,ar,896,['Q30465'],[131]
640,ar,9 يناير,['Q2238'],[222]
641,ar,908,['Q30463'],[128]
642,ar,912,['Q23837'],[132]
643,ar,912 م,['Q23837'],[132]
644,ar,912 م.,['Q23837'],[132]
645,ar,912 ميلادي,['Q23837'],[132]
646,ar,912م,['Q23837'],[132]
647,ar,912م.,['Q23837'],[132]
648,ar,915,['Q24031'],[130]
649,ar,918,['Q23877'],[130]
650,ar,927,['Q30470'],[128]
651,ar,928,['Q24297'],[130]
